,No. Pesanan,Status Pesanan,Nama Produk,Nama Variasi,Harga Setelah Diskon,Jumlah,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Username (Pembeli),Kota/Kabupaten,Waktu Pembayaran,Pesanan Dibuat
0,200302R7G0BX8D,Selesai,Kanvas lukis,30x30,Rp 17.500,1,0.0,Rp 9.000,Rp 26.500,usako,KOTA JAKARTA BARAT,2020-03-02 14:18,2020-03-02 14:18
1,200302RM4QP8U8,Batal,Giotto super,"Merah,100ml",Rp 20.000,1,0.0,Rp 12.000,Rp 92.000,hannamargarethtampubolon,KOTA BANDUNG,-,2020-03-02 18:04
2,,,Giotto super,"Kuning,100ml",Rp 20.000,1,,,,,,,
3,,,Giotto super,"Biru,100ml",Rp 20.000,1,,,,,,,
4,,,Giotto super,"Hijau,100ml",Rp 20.000,1,,,,,,,
5,200302RMDNAAYM,Selesai,Giotto super,"Merah,100ml",Rp 20.000,1,0.0,Rp 12.000,Rp 92.000,hannamargarethtampubolon,KOTA BANDUNG,2020-03-02 18:09,2020-03-02 18:09
6,,,Giotto super,"Kuning,100ml",Rp 20.000,1,,,,,,,
7,,,Giotto super,"Biru,100ml",Rp 20.000,1,,,,,,,
8,,,Giotto super,"Hijau,100ml",Rp 20.000,1,,,,,,,
9,200302S271WQR1,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 0,Rp 53.000,inooydhewi,KAB. KARAWANG,2020-03-02 22:16,2020-03-02 22:16
10,200303TVV6M5MX,Selesai,Giotto super,"Kuning,20ml",Rp 5.500,1,0.0,Rp 0,Rp 16.500,maya1990,KAB. BOGOR,2020-03-03 15:46,2020-03-03 15:46
11,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
12,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
13,20030405XEK14E,Selesai,Giotto super,"Merah,100ml",Rp 20.000,2,0.0,Rp 49.000,Rp 191.395,sherlyshopid,KOTA TANGERANG,2020-03-04 14:33,2020-03-04 14:33
14,,,Giotto super,"Kuning,100ml",Rp 20.000,2,,,,,,,
15,,,Giotto super,"Ungu,100ml",Rp 20.500,1,,,,,,,
16,,,Giotto super,"Hijau,100ml",Rp 20.000,2,,,,,,,
17,2003064GPW5TH0,Selesai,Painting set,30x30,Rp 139.000,1,0.0,Rp 20.000,Rp 159.000,octafrieanna,KOTA BEKASI,2020-03-06 07:57,2020-03-06 07:56
18,20030652Y5S3M5,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,0.0,Rp 27.000,Rp 100.000,shellyshinta19,KAB. KAUR,2020-03-06 14:02,2020-03-06 13:23
19,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
20,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
21,,,Giotto super,"Hijau,60ml",Rp 12.000,1,,,,,,,
22,,,Kanvas lukis,20x20,Rp 12.500,2,,,,,,,
23,20030653QP5TRB,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 34.500,ismawartinovandini,KOTA DEPOK,2020-03-06 13:37,2020-03-06 13:36
24,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
25,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
26,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
27,,,Kanvas lukis,20x20,Rp 12.500,1,,,,,,,
28,2003077ADJH6RT,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,4985.0,Rp 0,Rp 43.015,nolibren,KOTA JAKARTA BARAT,2020-03-07 10:42,2020-03-07 10:41
29,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
30,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
31,,,Giotto super,"Hijau,60ml",Rp 12.000,1,,,,,,,
32,2003077FETAVDC,Selesai,Painting set,30x30,Rp 139.000,1,0.0,Rp 18.000,Rp 169.500,trifosasari,KOTA SEMARANG,2020-03-07 12:13,2020-03-07 12:12
33,,,Kanvas lukis,20x20,Rp 12.500,1,,,,,,,
34,2003089QWDCNBV,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 10.000,Rp 84.500,vinathl_,KOTA SURABAYA,2020-03-08 09:48,2020-03-08 09:48
35,,,Scooper scissors,,Rp 21.500,1,,,,,,,
36,2003089XYXKVNP,Batal,Kanvas lukis,30x30,Rp 17.500,1,0.0,Rp 20.000,Rp 38.516,ayundasulistia,KAB. CIANJUR,-,2020-03-08 11:55
37,200309CGQ043PN,Selesai,Kanvas lukis,20x20,Rp 12.500,2,0.0,Rp 0,Rp 26.911,ashleeyusup08,KAB. TANGERANG,2020-03-09 15:04,2020-03-09 12:17
38,200309CNHB5WAM,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 20.000,Rp 73.000,haytirafel,KOTA SURABAYA,2020-03-09 14:04,2020-03-09 13:44
39,200309CUDEDA2H,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 10.000,Rp 44.000,nadhila.m,KOTA SURABAYA,2020-03-09 15:29,2020-03-09 15:29
40,,,Giotto super,"Pink,20ml",Rp 6.000,1,,,,,,,
41,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
42,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
43,,,Giotto super,"Violet,20ml",Rp 6.000,1,,,,,,,
44,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
45,200311H7F609F1,Selesai,Giotto super,"Merah,100ml",Rp 20.000,1,0.0,Rp 10.000,Rp 185.441,familia_hardiyani,KOTA JAKARTA BARAT,2020-03-11 09:18,2020-03-11 09:15
46,,,Giotto super,"Kuning,100ml",Rp 20.000,1,,,,,,,
47,,,Giotto super,"Biru,100ml",Rp 20.000,1,,,,,,,
48,,,Giotto super,"Hijau,100ml",Rp 20.000,1,,,,,,,
49,,,Painting set,20x20,Rp 92.700,1,,,,,,,
50,200311JERDB766,Selesai,50-100pcs pompom,"100pcs,2cm",Rp 25.900,1,0.0,Rp 17.000,Rp 290.900,sv25.,KOTA JAKARTA UTARA,2020-03-11 21:11,2020-03-11 20:58
51,,,Painting set,30x30,Rp 139.000,1,,,,,,,
52,,,Kanvas lukis,30x30,Rp 17.500,5,,,,,,,
53,,,Scooper scissors,,Rp 21.500,1,,,,,,,
54,200311JGRKBQFA,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,3284.0,Rp 0,Rp 30.417,iffadwicahyani,KAB. BEKASI,2020-03-11 21:35,2020-03-11 21:34
55,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
56,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
57,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
58,,,Giotto super,"Violet,20ml",Rp 5.700,1,,,,,,,
59,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
60,200313P1E05RPY,Selesai,Kanvas lukis,30x40,Rp 18.800,4,0.0,Rp 10.000,Rp 86.560,diahsinta16,KOTA TANGERANG,2020-03-13 20:39,2020-03-13 07:10
61,200313PKRVNET4,Selesai,Kanvas lukis,20x20,Rp 12.500,3,0.0,Rp 10.000,Rp 48.213,lydialim86,KOTA JAKARTA PUSAT,2020-03-13 12:39,2020-03-13 12:39
62,200313Q66N7W7T,Selesai,Kanvas lukis,30x40,Rp 17.000,1,0.0,Rp 10.000,Rp 27.405,0821.1156.1705.,KOTA JAKARTA PUSAT,2020-03-13 18:10,2020-03-13 18:09
63,200313QJX4BV9K,Selesai,Animal play,Fish,Rp 48.500,1,0.0,Rp 2.000,Rp 50.500,yayuk_nurm,KOTA BANDUNG,2020-03-13 21:57,2020-03-13 21:56
64,200314S2GQHSJR,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 0,Rp 53.000,ageivana,KOTA TANGERANG,2020-03-14 12:08,2020-03-14 12:08
65,200314SG869RAN,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,0.0,Rp 0,Rp 48.000,novyliana,KOTA JAKARTA PUSAT,2020-03-14 16:14,2020-03-14 16:14
66,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
67,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
68,,,Giotto super,"Hijau,60ml",Rp 12.000,1,,,,,,,
69,200315UP3UQ0U6,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 14.000,Rp 153.200,karenolivia82,KOTA BANDUNG,2020-03-15 13:04,2020-03-15 13:04
70,,,Giotto super,"Pink,60ml",Rp 12.300,1,,,,,,,
71,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
72,,,Giotto super,"Biru muda,60ml",Rp 12.000,1,,,,,,,
73,,,Giotto super,"Violet,20ml",Rp 5.700,1,,,,,,,
74,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
75,,,Painting set,20x20,Rp 92.700,1,,,,,,,
76,200315V34C0NRV,Selesai,Kanvas lukis,30x40,Rp 18.500,2,0.0,Rp 0,Rp 37.000,erality120394,KOTA JAKARTA PUSAT,2020-03-15 17:03,2020-03-15 16:57
77,200316VUP1AU4W,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,0.0,Rp 2.000,Rp 81.204,ayukharisma,KOTA BANDUNG,2020-03-16 00:16,2020-03-16 00:16
78,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
79,,,Giotto super,"Biru muda,60ml",Rp 12.000,1,,,,,,,
80,,,50-100pcs pompom,"100pcs,1,5cm",Rp 16.500,1,,,,,,,
81,,,50-100pcs pompom,"100pcs,2cm",Rp 25.900,1,,,,,,,
82,2003161QU5B7YN,Selesai,Animal play,Dino,Rp 38.000,1,0.0,Rp 0,Rp 38.000,tyassita,KOTA JAKARTA BARAT,2020-03-16 19:14,2020-03-16 19:12
83,2003161W0HB334,Batal,Giotto super,"Merah,60ml",Rp 12.000,1,5305.0,Rp 18.000,Rp 82.595,santikumala,KOTA JAKARTA SELATAN,-,2020-03-16 20:45
84,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
85,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
86,,,Sponge brush,,Rp 33.900,1,,,,,,,
87,2003161XKF4VJ5,Selesai,Giotto super,"Merah,100ml",Rp 20.000,1,4517.0,Rp 0,Rp 142.683,kimisasha,KOTA JAKARTA UTARA,2020-03-16 21:13,2020-03-16 21:13
88,,,Giotto super,"Pink,100ml",Rp 20.500,1,,,,,,,
89,,,Giotto super,"Orange,100ml",Rp 20.500,1,,,,,,,
90,,,Giotto super,"Kuning,100ml",Rp 20.000,1,,,,,,,
91,,,Giotto super,"Biru,100ml",Rp 20.000,1,,,,,,,
92,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
93,,,Giotto super,"Violet,100ml",Rp 20.500,1,,,,,,,
94,,,Giotto super,"Hijau,100ml",Rp 20.000,1,,,,,,,
95,20031725AUC72M,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,17475.0,Rp 20.000,Rp 72.425,santikumala,KOTA JAKARTA SELATAN,2020-03-16 23:14,2020-03-16 23:14
96,,,Giotto super,"Kuning,60ml",Rp 12.000,1,,,,,,,
97,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
98,,,Sponge brush,,Rp 33.900,1,,,,,,,
99,20031743U0BC4U,Selesai,Deli washable,,Rp 53.000,1,20.0,Rp 10.000,Rp 62.980,jessica0143,KOTA SURABAYA,2020-03-17 17:52,2020-03-17 17:52
100,20031749H5SBTY,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 0,Rp 53.000,alfatih010116,KAB. BOGOR,2020-03-17 19:35,2020-03-17 19:34
101,2003174J8UA6HV,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 10.000,Rp 63.000,dinles13,KOTA BEKASI,2020-03-17 22:12,2020-03-17 22:11
102,2003185JH3G21V,Selesai,Giotto super,"Merah,60ml",Rp 12.000,1,0.0,Rp 20.000,Rp 240.800,ren2424,KOTA JAKARTA UTARA,2020-03-18 07:48,2020-03-18 07:48
103,,,Giotto super,"Orange,60ml",Rp 12.300,1,,,,,,,
104,,,Giotto super,"Biru,60ml",Rp 12.000,1,,,,,,,
105,,,Giotto super,"Biru muda,60ml",Rp 12.000,1,,,,,,,
106,,,Giotto super,"Violet,60ml",Rp 12.300,1,,,,,,,
107,,,Giotto super,"Hijau,60ml",Rp 12.000,1,,,,,,,
108,,,Painting set,20x20,Rp 92.700,1,,,,,,,
109,,,Kanvas lukis,30x40,Rp 18.500,3,,,,,,,
110,2003197PJTST0T,Selesai,Painting set,20x20,Rp 90.500,1,0.0,Rp 0,Rp 90.500,ferdinautt,KOTA SEMARANG,2020-03-19 04:06,2020-03-19 04:06
111,20031984R82CC7,Selesai,Deli washable,,Rp 53.000,1,100.0,Rp 0,Rp 208.900,thecangingseason,KAB. SLEMAN,2020-03-19 08:20,2020-03-19 08:19
112,,,Giotto super,"Merah,20ml",Rp 5.500,1,,,,,,,
113,,,Giotto super,"Kuning,100ml",Rp 20.000,1,,,,,,,
114,,,Giotto super,"Biru,100ml",Rp 20.000,1,,,,,,,
115,,,Giotto super,"Hijau,100ml",Rp 20.000,1,,,,,,,
116,,,Painting set,20x20,Rp 90.500,1,,,,,,,
117,200319887NKM5K,Selesai,Deli washable,,Rp 53.000,1,2312.0,Rp 0,Rp 50.688,hana.thasiaputri,KAB. BEKASI,2020-03-19 09:22,2020-03-19 09:22
118,2003198GJYP289,Selesai,Animal play,Fish,Rp 48.500,1,0.0,Rp 0,Rp 48.500,bintangprana,KOTA DEPOK,2020-03-19 11:51,2020-03-19 11:51
119,2003198P4GUWP3,Selesai,Deli washable,,Rp 53.000,1,0.0,Rp 0,Rp 53.000,trianeintan,KAB. BOGOR,2020-03-19 13:31,2020-03-19 13:30
120,2003198U85Y4E7,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 39.000,Rp 171.231,tiaramutiarae,KOTA DEPOK,2020-03-19 15:04,2020-03-19 15:02
121,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
122,,,Giotto super,"Orange,20ml",Rp 5.700,1,,,,,,,
123,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
124,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
125,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
126,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
127,,,Giotto super,"Violet,20ml",Rp 5.700,1,,,,,,,
128,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
129,,,50-100pcs pompom,"100pcs,1,5cm",Rp 16.500,1,,,,,,,
130,,,50-100pcs pompom,"100pcs,2cm",Rp 25.900,1,,,,,,,
131,,,Kanvas lukis,30x40,Rp 18.500,2,,,,,,,
132,200320AQM1EA6Y,Selesai,Kanvas lukis,30x30,Rp 16.000,1,0.0,Rp 10.000,Rp 26.504,muti_nurul21,KAB. KARAWANG,2020-03-20 09:10,2020-03-20 09:02
133,200320B310EY15,Selesai,Giotto super,"Pink,100ml",Rp 20.500,1,0.0,Rp 0,Rp 154.000,eleonora.stephanie,KOTA BANDUNG,2020-03-20 12:27,2020-03-20 12:26
134,,,Painting set,30x30,Rp 133.500,1,,,,,,,
135,200321D7GEG1VN,Batal,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 9.000,Rp 31.000,razberryz,KOTA JAKARTA SELATAN,-,2020-03-21 08:52
136,,,Giotto super,"Kuning,20ml",Rp 5.500,2,,,,,,,
137,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
138,200321D7WS36NF,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 30.900,razberryz,KOTA JAKARTA SELATAN,2020-03-21 09:00,2020-03-21 08:59
139,,,Giotto super,"Kuning,20ml",Rp 5.500,2,,,,,,,
140,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
141,,,50-100pcs pompom,"50pcs,1,5cm",Rp 8.900,1,,,,,,,
142,200321E3W7Q1P0,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 32.000,Rp 76.600,dianimhadi,KOTA BEKASI,2020-03-21 17:21,2020-03-21 17:20
143,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
144,,,Giotto super,"Orange,20ml",Rp 5.700,1,,,,,,,
145,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
146,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
147,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
148,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
149,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
150,200321E8U297XT,Selesai,Kanvas lukis,30x40,Rp 18.500,3,0.0,Rp 18.000,Rp 73.500,ffcotton,KOTA JAKARTA BARAT,2020-03-21 18:49,2020-03-21 18:48
151,200321EGRY4QXH,Selesai,Kanvas lukis,30x40,Rp 18.500,2,0.0,Rp 10.000,Rp 47.000,andrimaniez80,KOTA TANGERANG SELATAN,2020-03-21 21:12,2020-03-21 21:10
152,200321ENA0XRTH,Selesai,Animal play,Dino,Rp 38.000,1,0.0,Rp 0,Rp 59.500,joceee,KOTA JAKARTA UTARA,2020-03-21 22:32,2020-03-21 22:32
153,,,Scooper scissors,,Rp 21.500,1,,,,,,,
154,200322G9Q1XP2G,Selesai,Painting set,30x30,Rp 133.500,1,0.0,Rp 9.000,Rp 142.500,jessicayuri22,KOTA BEKASI,2020-03-22 17:13,2020-03-22 14:09
155,200323HBE9TM9J,Selesai,Giotto super,"Merah,20ml",Rp 5.500,2,0.0,Rp 0,Rp 33.000,angellya90,KOTA TANGERANG SELATAN,2020-03-23 00:13,2020-03-23 00:13
156,,,Giotto super,"Kuning,20ml",Rp 5.500,2,,,,,,,
157,,,Giotto super,"Biru,20ml",Rp 5.500,2,,,,,,,
158,200323HV8BW6WQ,Batal,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 51.156,kinung123,KOTA DEPOK,-,2020-03-23 05:14
159,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
160,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
161,,,Sponge brush,,Rp 33.900,1,,,,,,,
162,200323JG17YCBR,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 51.156,kinung123,KOTA DEPOK,2020-03-23 11:33,2020-03-23 11:08
163,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
164,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
165,,,Sponge brush,,Rp 33.900,1,,,,,,,
166,200323JS1QX5XA,Selesai,Scooper scissors,,Rp 21.500,1,0.0,Rp 9.000,Rp 30.958,adnyanimahatma,KOTA BEKASI,2020-03-23 13:50,2020-03-23 13:49
167,200323K9GURDU6,Selesai,Giant waterbeads,"25 gram,Besar",Rp 3.500,3,0.0,Rp 11.000,Rp 21.500,isthykarani08,KAB. PURWAKARTA,2020-03-23 19:52,2020-03-23 18:44
168,200323KQ8Y5RSC,Batal,Giotto super,"Biru muda,20ml",Rp 5.500,3,0.0,Rp 19.000,Rp 36.033,l1l1girl123,KAB. SIDOARJO,-,2020-03-23 22:50
169,200324KS1QCX29,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 33.400,lexiyan.t,KOTA JAKARTA TIMUR,2020-03-23 23:22,2020-03-23 23:22
170,,,Giotto super,"Orange,20ml",Rp 5.700,1,,,,,,,
171,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
172,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
173,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
174,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
175,200324MM1HYJ8X,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,24.0,Rp 9.000,Rp 25.476,kamilaajeng,KOTA TANGERANG,2020-03-24 07:25,2020-03-24 07:25
176,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
177,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
178,200324MQXVD6YF,Selesai,Kanvas lukis,30x40,Rp 18.500,1,0.0,Rp 9.000,Rp 27.500,agathas.,KOTA TANGERANG SELATAN,2020-03-24 08:35,2020-03-24 08:35
179,200324N3A2CH7A,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 24.000,Rp 174.100,vannia,KOTA BEKASI,2020-03-24 11:58,2020-03-24 11:58
180,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
181,,,Giotto super,"Orange,20ml",Rp 5.700,1,,,,,,,
182,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
183,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
184,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
185,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
186,,,Kanvas lukis,30x40,Rp 18.500,6,,,,,,,
187,200324ND9X50GC,Selesai,Giotto super,"Merah,20ml",Rp 5.500,2,0.0,Rp 18.000,Rp 101.500,khairinadinda,KOTA TANGERANG SELATAN,2020-03-24 15:03,2020-03-24 14:57
188,,,Giotto super,"Orange,20ml",Rp 5.700,2,,,,,,,
189,,,Giotto super,"Kuning,20ml",Rp 5.500,2,,,,,,,
190,,,Giotto super,"Biru,20ml",Rp 5.500,2,,,,,,,
191,,,Giotto super,"Biru muda,20ml",Rp 5.500,2,,,,,,,
192,,,Giotto super,"Ungu,20ml",Rp 5.700,1,,,,,,,
193,,,Giotto super,"Violet,20ml",Rp 5.700,2,,,,,,,
194,,,Giotto super,"Hijau,20ml",Rp 5.500,2,,,,,,,
195,200324NSBQRH4W,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 9.000,Rp 59.400,viviwiliams,KOTA JAKARTA BARAT,2020-03-24 18:33,2020-03-24 18:33
196,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
197,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
198,,,Sponge brush,,Rp 33.900,1,,,,,,,
199,200325PDAV3BUF,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,1.0,Rp 31.000,Rp 65.365,deskaputriananda,KOTA BANJARMASIN,2020-03-25 00:31,2020-03-25 00:30
200,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
201,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
202,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
203,,,Giotto super,"Violet,20ml",Rp 5.700,1,,,,,,,
204,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
205,200325Q4EVT5Q7,Selesai,Giotto super,"Merah,20ml",Rp 5.500,4,0.0,Rp 19.000,Rp 209.600,pamela87,KOTA DEPOK,2020-03-25 10:41,2020-03-25 07:24
206,,,Giotto super,"Pink,20ml",Rp 5.700,4,,,,,,,
207,,,Giotto super,"Kuning,20ml",Rp 5.500,4,,,,,,,
208,,,Giotto super,"Biru,20ml",Rp 5.500,4,,,,,,,
209,,,Giotto super,"Hijau,20ml",Rp 5.500,4,,,,,,,
210,,,Giant waterbeads,"50 gram,Besar",Rp 6.000,2,,,,,,,
211,,,Sponge brush,,Rp 33.900,2,,,,,,,
212,200325QEY9G0C4,Selesai,Giotto super,"Pink,20ml",Rp 5.700,1,0.0,Rp 9.000,Rp 20.200,taniyamahisa,KOTA TANGERANG SELATAN,2020-03-25 10:35,2020-03-25 10:32
213,,,Giotto super,"Biru muda,20ml",Rp 5.500,1,,,,,,,
214,200325R5CE245B,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,68.0,Rp 9.000,Rp 48.752,amaliafajrina,KOTA DEPOK,2020-03-25 17:16,2020-03-25 17:13
215,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
216,,,Giotto super,"Orange,20ml",Rp 5.700,1,,,,,,,
217,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
218,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
219,,,Giotto super,"Violet,20ml",Rp 5.700,1,,,,,,,
220,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
221,200326T8SKFQ1G,Selesai,Giotto super,"Merah,20ml",Rp 5.500,3,0.0,Rp 61.000,Rp 315.800,yulialukita,KOTA MEDAN,2020-03-26 13:20,2020-03-26 13:20
222,,,Giotto super,"Pink,20ml",Rp 5.700,3,,,,,,,
223,,,Giotto super,"Orange,20ml",Rp 5.700,3,,,,,,,
224,,,Giotto super,"Kuning,20ml",Rp 5.500,3,,,,,,,
225,,,Giotto super,"Biru,20ml",Rp 5.500,3,,,,,,,
226,,,Giotto super,"Biru muda,20ml",Rp 5.500,3,,,,,,,
227,,,Giotto super,"Violet,20ml",Rp 5.700,3,,,,,,,
228,,,Animal play,Fish,Rp 48.500,1,,,,,,,
229,,,Animal play,Aquamarine,Rp 59.000,1,,,,,,,
230,,,Giant waterbeads,"50 gram,Besar",Rp 6.000,5,,,,,,,
231,200326T9SW96M9,Selesai,Giotto super,"Merah,20ml",Rp 5.500,4,0.0,Rp 10.000,Rp 121.600,gienayuafiani,KOTA DEPOK,2020-03-26 13:38,2020-03-26 13:38
232,,,Giotto super,"Pink,20ml",Rp 5.700,4,,,,,,,
233,,,Giotto super,"Orange,20ml",Rp 5.700,4,,,,,,,
234,,,Giotto super,"Biru,20ml",Rp 5.500,4,,,,,,,
235,,,Giotto super,"Hijau,20ml",Rp 5.500,4,,,,,,,
236,200327U9AF6AG7,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 0,Rp 86.700,razhiefayuni,KOTA JAKARTA TIMUR,2020-03-26 23:06,2020-03-26 23:02
237,,,Giotto super,"Pink,20ml",Rp 5.700,1,,,,,,,
238,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
239,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
240,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
241,,,Animal play,Aquamarine,Rp 59.000,1,,,,,,,
242,200327URX0ADH2,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,4125.0,Rp 0,Rp 12.375,richieshop12,KOTA SURABAYA,2020-03-27 03:41,2020-03-27 03:41
243,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
244,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
245,200327VMR3UQTS,Selesai,Giotto super,"Merah,20ml",Rp 5.500,1,0.0,Rp 12.000,Rp 143.400,letstip.jkt,KOTA JAKARTA UTARA,2020-03-27 11:59,2020-03-27 11:59
246,,,Giotto super,"Kuning,20ml",Rp 5.500,1,,,,,,,
247,,,Giotto super,"Biru,20ml",Rp 5.500,1,,,,,,,
248,,,Giotto super,"Hijau,20ml",Rp 5.500,1,,,,,,,
249,,,50-100pcs pompom,"50pcs,1,2cm",Rp 6.500,1,,,,,,,
250,,,50-100pcs pompom,"50pcs,1,5cm",Rp 8.900,1,,,,,,,
251,,,50-100pcs pompom,"50pcs,2cm",Rp 13.500,1,,,,,,,
252,,,Animal play,Aquamarine,Rp 59.000,1,,,,,,,
253,,,Scooper scissors,,Rp 21.500,1,,,,,,,
