,No. Pesanan,Status Pesanan,Nama Produk,Nama Variasi,Harga Setelah Diskon,Jumlah,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Username (Pembeli),Kota/Kabupaten,Waktu Pembayaran,Pesanan Dibuat
4441,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4442,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4443,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4444,,,Kanvas lukis,,Rp 12.200,2,,,,,,,
4445,,,Sponge brush,Flower,Rp 20.000,1,,,,,,,
4446,2007210H4WUAG6,Batal,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 36.000,Rp 164.934,djumratode123,KAB. WAKATOBI,2020-07-21 15:14,2020-07-21 15:13
4447,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
4448,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4449,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4450,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4451,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4452,,,50-100pcs pompom,"100pcs,2cm",Rp 27.500,1,,,,,,,
4453,,,DIY metamorfosis,,Rp 38.000,1,,,,,,,
4454,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,2,,,,,,,
4455,2007210MBT33C6,Selesai,Animal play,Animal forest,Rp 62.000,1,0.0,Rp 0,Rp 62.000,stefaniang88,KOTA JAKARTA PUSAT,2020-07-21 16:11,2020-07-21 16:11
4456,2007210TBWJ21H,Selesai,Kanvas lukis,,Rp 16.000,1,0.0,Rp 0,Rp 54.000,radhitarahmalina,KOTA BEKASI,2020-07-21 18:00,2020-07-21 17:58
4457,,,Sponge brush,Roller,Rp 38.000,1,,,,,,,
4458,2007210UU0APC7,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 40.000,Rp 140.900,ol274299,KAB. TANGERANG,2020-07-21 18:26,2020-07-21 18:24
4459,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4460,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4461,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4462,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4463,,,Cat lukis,"Hitam,20ml",Rp 5.600,1,,,,,,,
4464,,,Cat lukis,"Coklat,20ml",Rp 5.600,1,,,,,,,
4465,,,Kanvas lukis,,Rp 12.200,5,,,,,,,
4466,2007210V1HTCVT,Selesai,Cat lukis,"Pink,20ml",Rp 5.500,1,0.0,Rp 10.000,Rp 51.900,afanibilqisti1,KAB. BOGOR,2020-07-21 18:28,2020-07-21 18:28
4467,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4468,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4469,,,Kanvas lukis,,Rp 12.200,1,,,,,,,
4470,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,1,,,,,,,
4471,2007210VT0YH1U,Selesai,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,10,0.0,Rp 28.000,Rp 158.000,jenberry88,KOTA JAMBI,2020-07-22 11:39,2020-07-21 18:42
4472,2007210X6QSJ0W,Batal,Kanvas lukis,,Rp 12.200,1,0.0,Rp 10.000,Rp 22.200,tarawdj_,KOTA JAKARTA PUSAT,-,2020-07-21 19:07
4473,20072114SVDYXB,Selesai,50-100pcs pompom,"50pcs,2cm",Rp 14.000,1,0.0,Rp 10.000,Rp 57.500,putrierlindaaa,KOTA JAKARTA TIMUR,2020-07-21 21:05,2020-07-21 21:05
4474,,,Giant waterbeads,"Standar,10 gram",Rp 3.500,1,,,,,,,
4475,,,Sensory Rice 200 gram,1 paket @50gr,Rp 30.000,1,,,,,,,
4476,2007221M6S5FTN,Selesai,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,6,0.0,Rp 0,Rp 78.000,catherine_yuwono,KOTA BANDUNG,2020-07-22 01:41,2020-07-22 01:41
4477,2007222F1RUU31,Selesai,Sort the,Waterbeads - ulat,Rp 68.500,1,0.0,Rp 0,Rp 94.500,hannysophian,KOTA JAKARTA UTARA,2020-07-22 09:41,2020-07-22 09:41
4478,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,2,,,,,,,
4479,2007222JE9H03Y,Selesai,Instant snow,,Rp 6.000,2,0.0,Rp 0,Rp 51.500,chenong88,KOTA JAKARTA UTARA,2020-07-22 10:42,2020-07-22 10:42
4480,,,Giant waterbeads,"Standar,10 gram",Rp 3.500,1,,,,,,,
4481,,,Sensory Rice 200 gram,Red,Rp 12.000,1,,,,,,,
4482,,,Sensory Rice 200 gram,Green,Rp 12.000,1,,,,,,,
4483,,,Sensory Rice 200 gram,Yellow,Rp 12.000,1,,,,,,,
4484,2007222KCP1A9U,Batal,Sensory Rice Ocean,,Rp 62.500,1,0.0,Rp 16.000,Rp 204.000,tsalsabilaazzahra,KOTA PEKANBARU,-,2020-07-22 10:59
4485,,,Kanvas lukis,,Rp 16.000,3,,,,,,,
4486,,,Sensory Rice 200 gram,Green,Rp 12.000,1,,,,,,,
4487,,,Sensory Rice 200 gram,Yellow,Rp 12.000,1,,,,,,,
4488,,,Meet the,Set 2,Rp 53.500,1,,,,,,,
4489,2007222N7HQEAK,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 10.000,Rp 85.400,dwiutari30,KOTA PALEMBANG,2020-07-22 11:32,2020-07-22 11:32
4490,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
4491,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4492,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4493,,,Cat lukis,"Biru muda,20ml",Rp 5.600,2,,,,,,,
4494,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4495,,,Cat lukis,"Hitam,20ml",Rp 5.600,1,,,,,,,
4496,,,Cat lukis,"Coklat,20ml",Rp 5.600,1,,,,,,,
4497,,,Kanvas lukis,,Rp 12.200,2,,,,,,,
4498,2007222QURTATT,Selesai,50-100pcs pompom,"50pcs,2cm",Rp 14.000,1,0.0,Rp 0,Rp 123.000,palerose_id,KOTA JAKARTA TIMUR,2020-07-22 12:19,2020-07-22 12:19
4499,,,Coding and,,Rp 48.000,1,,,,,,,
4500,,,Animal play,Aquamarine,Rp 61.000,1,,,,,,,
4501,2007222T3WEQAG,Batal,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,1,9.0,Rp 10.000,Rp 22.991,mei_lingga,KOTA JAKARTA BARAT,-,2020-07-22 12:59
4502,200722308948SB,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 0,Rp 55.100,hanifarania,KOTA DEPOK,2020-07-22 14:49,2020-07-22 14:49
4503,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4504,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4505,,,Instant snow,,Rp 6.000,1,,,,,,,
4506,,,Kanvas lukis,,Rp 16.000,2,,,,,,,
4507,20072230TKDU84,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,370.0,Rp 0,Rp 65.430,afifahnurly,KOTA JAKARTA TIMUR,2020-07-22 14:59,2020-07-22 14:59
4508,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
4509,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4510,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
